Date,"Index Value",High,Low,"Previous Close"
"24 Nov 16",-19.16,0,0,0
"25 Nov 16",-19.84,0,0,0
"26 Nov 16",-20.57,0,0,0
"27 Nov 16",-21.25,0,0,0
"28 Nov 16",-21.91,0,0,0
"29 Nov 16",-22.48,0,0,0
"30 Nov 16",-23.2,0,0,0
"01 Dec 16",-0.48,0,0,0
"02 Dec 16",0.11,0,0,0
"03 Dec 16",0.57,0,0,0
"04 Dec 16",0.55,0,0,0
"05 Dec 16",0.51,0,0,0
"06 Dec 16",0.06,0,0,0
"07 Dec 16",-0.32,0,0,0
"08 Dec 16",-1,0,0,0
"09 Dec 16",-1.51,0,0,0
"10 Dec 16",-2.09,0,0,0
"11 Dec 16",-2.44,0,0,0
"12 Dec 16",-2.92,0,0,0
"13 Dec 16",-0.83,0,0,0
"14 Dec 16",-1.05,0,0,0
"15 Dec 16",-1.41,0,0,0
"16 Dec 16",-1.88,0,0,0
"17 Dec 16",-2.29,0,0,0
"18 Dec 16",-2.63,0,0,0
"19 Dec 16",-3.17,0,0,0
"20 Dec 16",-3.73,0,0,0
"21 Dec 16",-4.09,0,0,0
"22 Dec 16",-4.43,0,0,0
"23 Dec 16",-4.98,0,0,0
"24 Dec 16",-5.32,0,0,0
"25 Dec 16",-5.91,0,0,0
"26 Dec 16",-6.27,0,0,0
"27 Dec 16",-6.31,0,0,0
"28 Dec 16",-6.19,0,0,0
"29 Dec 16",-6.59,0,0,0
"30 Dec 16",-7.23,0,0,0
"31 Dec 16",-7.75,0,0,0
"01 Jan 17",-0.41,0,0,0
"02 Jan 17",-0.57,0,0,0
"03 Jan 17",-0.15,0,0,0
"04 Jan 17",-0.05,0,0,0
"05 Jan 17",0.36,0,0,0
"06 Jan 17",1.41,0,0,0
"07 Jan 17",1.71,0,0,0
"08 Jan 17",0.9,0,0,0
"09 Jan 17",0.56,0,0,0
"10 Jan 17",0.39,0,0,0
"11 Jan 17",-0.12,0,0,0
"12 Jan 17",-0.78,0,0,0
"13 Jan 17",-1.67,0,0,0
"14 Jan 17",-2.13,0,0,0
"15 Jan 17",-2.25,0,0,0
"16 Jan 17",-2.82,0,0,0
"17 Jan 17",-3.31,0,0,0
